gene,rna_lfc,rna_p,prot_lfc,prot_p,gwas_p,concordant,gwas_p_floored,transcriptomic,proteomic,genomic,score
DST,2.07,0.00406,0.030891442,3.1e-06,2e-07,True,2e-07,2.07,0.030891442,6.698970004336019,2.933287148778673
PHACTR4,-0.227,0.669,0.046659171,0.240000742,3e-09,False,3e-09,0.227,0.046659171,8.522878745280337,2.932179305426779
NFIB,-1.09,0.000997,0.001803085,1.0,2e-08,False,2e-08,1.09,0.001803085,7.698970004336019,2.9302576964453397
C3orf33,-1.07,0.163,-0.018966547,0.732333555,2e-08,True,2e-08,1.07,0.018966547,7.698970004336019,2.929312183778673
FMN2,-1.59,0.0107,-0.042552005,7.58e-06,7e-08,True,7e-08,1.59,0.042552005,7.154901959985743,2.9291513216619145
PDE10A,-0.48,0.672,0.004693184,1.0,5e-09,False,5e-09,0.48,0.004693184,8.301029995663981,2.928574393221327
SNX9,-1.56,0.00145,-0.00308623,0.680214625,6e-08,True,6e-08,1.56,0.00308623,7.221848749616356,2.9283116598721186
MICALL2,-3.18,0.00237,0.077816735,0.000410314,3e-06,False,3e-06,3.18,0.077816735,5.522878745280337,2.926898493426779
BTBD9,-1.22,0.237,0.035539497,0.199409703,3e-08,False,3e-08,1.22,0.035539497,7.522878745280337,2.9261394140934454
LARP4,-0.734,0.267,0.034169324,0.173408299,1e-08,False,1e-08,0.734,0.034169324,8.0,2.922723108
TIAM1,-1.06,0.126,0.002786642,1.0,2e-08,False,2e-08,1.06,0.002786642,7.698970004336019,2.920585548778673
NKAIN3,-0.66,0.456,-0.001740708,1.0,8e-09,True,8e-09,0.66,0.001740708,8.096910013008056,2.9195502403360187
CAMK1D,-0.655,0.0506,0.000987578,0.907696131,8e-09,False,8e-09,0.655,0.000987578,8.096910013008056,2.917632530336019
R3HCC1,0.569,0.117,0.016865763,1.0,7e-09,True,7e-09,0.569,0.016865763,8.154901959985743,2.9135892409952473
PLCXD3,0.714,0.279,0.020662275,0.330558701,1e-08,True,1e-08,0.714,0.020662275,8.0,2.9115540916666665
CTNNA3,1.16,0.164,0.049645954,0.235934185,3e-08,True,3e-08,1.16,0.049645954,7.522878745280337,2.910841566426779
ERC2,0.99,0.0534,-0.036260567,0.006866381,2e-08,False,2e-08,0.99,0.036260567,7.698970004336019,2.9084101904453394
CYCS,-1.95,0.0112,-0.059206024,0.000243561,2e-07,True,2e-07,1.95,0.059206024,6.698970004336019,2.902725342778673
PDE4B,0.39,0.387,-0.014244516,0.340593449,5e-09,False,5e-09,0.39,0.014244516,8.301029995663981,2.9017581705546602
OPLAH,0.141,0.873,0.039784378,0.001720091,3e-09,True,3e-09,0.141,0.039784378,8.522878745280337,2.9012210410934456
ITGB1BP1,1.35,0.00911,0.033036784,0.437676695,5e-08,True,5e-08,1.35,0.033036784,7.301029995663981,2.8946889265546605
